code,libelle,etat,insee_commune,nom_commune,mo_raison_sociale,x,y,precision_coord,categorie,puissance_maximum,productible_moyen,debit,coef_energetique,nb_turbines,type_turbine,titre,date_echeance_titre,hauteur_de_chute
65069001,Centrale de Bas-Mour,EXPL,65069,La Barthe-de-Neste,S.A.R.L. PONS ET FILS,486827.0,6222240.0,0,Ouvrage fonctionnant au fil de l'eau,0.948,2554600.0,11.05,,,,Autorisée,2052-03-07,9.0
65075001,Centrale de Bazus,EXPL,65075,Bazus-Aure,S.A.R.L. HYDRO-ENERGIE,482637.0,6198670.0,0,Ouvrage fonctionnant au fil de l'eau,0.734,1311805.0,8.0,,,,Autorisée,2020-11-08,9.35
65077001,LAC DES GAVES AMONT,EXPL,65077,Beaucens,SOCIETE HYDRO ELECTRIQUE DU MIDI,449306.0,6214030.0,0,Ouvrage fonctionnant au fil de l'eau,2.49,4863336.0,39.0,,1.0,Kaplan horizont. & bulbe à pâles mobiles,Autorisée,2067-12-31,6.5
65078001,CAMPAN,EXPL,65078,Beaudéan,ELECTRICITE DE FRANCE,469331.0,6218430.0,0,Ouvrage fonctionnant au fil de l'eau,28.5,86242936.0,7.9,"0,948000",2.0,Pelton,Concédée,2029-12-13,415.8
65078002,Centrale d'Ardalos,EXPL,65078,Beaudéan,SIVU DE L'AYA,463354.0,6212120.0,0,Ouvrage fonctionnant au fil de l'eau,1.138,3908053.0,,,,,,,290.0
65078003,Centrale Moulin de Campan,EXPL,65123,Campan,L3L,469071.0,6218050.0,0,Ouvrage fonctionnant au fil de l'eau,0.138,,2.8,,,,Autorisée,,5.02
65092001,BEYREDE,EXPL,65092,Beyrède-Jumet-Camous,ELECTRICITE DE FRANCE,486008.0,6209750.0,0,Ouvrage fonctionnant au fil de l'eau,9.5,45120124.0,25.0,"0,120000",2.0,Francis double,Concédée,1994-10-16,59.2
65106001,Centrale de Bourisp,EXPL,65106,Bourisp,CIE GENERALE D'ENTREPRISES HYDROELECTRIQUES,482198.0,6195550.0,0,Ouvrage fonctionnant au fil de l'eau,2.0,8612192.0,1.0,,,,Autorisée,,270.0
65108001,Centrale des Turons (Bours Bazet amont),EXPL,65108,Bours,HYDROCOP,463095.0,6245200.0,0,Ouvrage fonctionnant au fil de l'eau,,2042041.0,,,,,,,8.0
65108002,Centrale de Pont de Bours (Bours Bazet aval),EXPL,65108,Bours,ADOUR ENERGIE,463141.0,6246400.0,0,Ouvrage fonctionnant au fil de l'eau,,2576599.0,,,,,,,8.7
65116001,Centrale de Pene Taillade,EXPL,65116,Cadéac,SOC HYDRAULIQUE ETUDES MISSIONS ASSIST,483188.0,6202320.0,0,Ouvrage fonctionnant au fil de l'eau,0.877,2942275.0,12.7,,1.0,,Autorisée,2021-03-04,7.0
65117001,St LARY,EXPL,65117,Cadeilhan-Trachère,ELECTRICITE DE FRANCE,480323.0,6194190.0,0,Ouvrage fonctionnant au fil de l'eau,21.0,79266376.0,14.0,"0,422000",2.0,Francis double,Concédée,1994-10-16,186.8
65123001,GRIPP,EXPL,65123,Campan,ELECTRICITE DE FRANCE,472721.0,6208670.0,0,Ouvrage fonctionnant au fil de l'eau,5.4,16710063.0,4.1,"0,360000",2.0,Francis,Concédée,2036-12-31,160.2
81204001,Ardorel,EXPL,81204,Payrin-Augmontel,JACQUES CROS ET COMPAGNIE,646374.0,6268710.0,0,Ouvrage fonctionnant au fil de l'eau,0.56,1395047.0,15.0,,2.0,Kaplan,,,4.2
65127001,Centrale de la Baïse,EXPL,65127,Capvern,S.N.C. CENTRALE HYDROELECTRIQUE DE LA BAISE,483678.0,6227150.0,0,Ouvrage fonctionnant au fil de l'eau,0.386,2441188.0,0.85,,,,Autorisée,2039-05-21,60.0
65138001,Centrale de Calypso,EXPL,65138,Cauterets,S.A. CALYPSO,447407.0,6207400.0,0,Ouvrage fonctionnant au fil de l'eau,3.3,19016154.0,,,,,,,70.0
65138002,Centrale de Tournaro,EXPL,65138,Cauterets,EURL L.R.F.,445515.0,6204560.0,0,Ouvrage fonctionnant au fil de l'eau,0.25,1077197.0,,,,,,,6.0
65141001,Centrale St Christeau,EXPL,65099,Bordères-Louron,S.A.R.L. SAINT CHRISTEAU,487960.0,6198630.0,0,Ouvrage fonctionnant au fil de l'eau,0.732,1460042.0,,,,,,,373.0
65159001,Centrale du Moulin Marc,EXPL,65159,Escala,SARL HYDROMARC,489991.0,6223260.0,0,Ouvrage fonctionnant au fil de l'eau,0.525,955606.0,8.0,,,,Autorisée,,6.7
65169001,Centrale d'Arrioussec,EXPL,65169,Estaing,S.I.V.O.M. DU LABAT DE BUN,437438.0,6205650.0,0,Ouvrage fonctionnant au fil de l'eau,1.05,3089638.0,0.36,,,,Autorisée,2012-05-18,315.0
